S.no,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,course_id,professor,department,Quality,Difficulty,Comment
17,0.035,0.768,0.198,0.8658,0.006210801657289267,0.03965851292014122,0.9541306495666504, CIV10GOV,James Nichols ,Government department,4.0,3.0,"I took two classes from him.  I did much better in the second one.  He talks on and on, the readings are dull, but the discussion is hot.  Don't be afraid to speak your mind and engage him.  He is one of the smartest profs. we've got."
18,0.0,0.936,0.064,0.4497,0.009881103411316872,0.1774516999721527,0.8126672506332397, GOV80,James Nichols ,Government department,4.0,4.0,"gotta do the reading in this class and nichols is a talking head but he knows his stuff.  overall i got an A- and i think i aced the final cause i went back and made sure i read the sparknotes for each book, tho i read the real texts too"
19,0.0,0.673,0.327,0.7783,0.019103772938251495,0.11318441480398178,0.8677117824554443, GOV166,James Nichols ,Government department,4.5,3.0,Great Guy...somewhat goofy.  Really knows his stuff.  Also definitely the guy to take for Gov 80.
20,0.0,0.762,0.238,0.6486,0.007623924408107996,0.0651659220457077,0.9272102117538452, GOV20,James Nichols ,Government department,3.5,2.0,Nice guy.  Understands and works with students.  Seems to like talking more than leading discussions.  Work load very reasonable.
21,0.052,0.908,0.04,-0.1904,0.03224153816699982,0.31877976655960083,0.6489787101745605, RLST118,Cynthia Humes ,Religious Studies department,4.0,4.0,"Prof Humes is really knowledgeable, but her lectures aren't very clear and she often gets sidetracked. However, she's very willing to work with you outside of class. She allows little time for written exams, but she's flexible with deadlines if you just ask, and tries to thoroughly prepare students for such assignments, quizzes or research papers."
22,0.102,0.73,0.168,0.5388,0.1601853370666504,0.3052298426628113,0.5345848202705383, RLST010,Cynthia Humes ,Religious Studies department,4.0,4.0,"Awesome lady who's very knowledgeable about the subject matter, but expects a lot of her students. As someone who took this course to fulfill a GE, I was disappointed by the amount of time it required. If you're genuinely interested in Religious Studies, you'll have a blast! If not, get ready to slog through a LOT of reading & detailed note-taking."
23,0.206,0.603,0.191,-0.1367,0.38449618220329285,0.39666542410850525,0.21883836388587952, RLST010,Cynthia Humes ,Religious Studies department,1.0,5.0,"Cynthia Humes is a brilliant woman but not the best teacher in the world. I have so much respect for her as a person, but her class was a struggle. "
24,0.075,0.925,0.0,-0.2944,0.970228374004364,0.027346830815076828,0.002424770500510931, RLST010,Cynthia Humes ,Religious Studies department,2.5,4.0,Her lectures are extremely confusing and her tests are extremely long and she does not give enough time to write too many essay questions in too little time.
25,0.0,0.76,0.24,0.7841,0.002000565407797694,0.01676478609442711,0.981234610080719, FHS01,Cynthia Humes ,Religious Studies department,3.0,2.0,Took her freshman class.  Very interesting. papers were the only grade and shes a fairly good grader.  I would take her if you have the chance.  work load is reasonable
26,0.022,0.621,0.357,0.9697,0.005973366089165211,0.028612541034817696,0.9654141664505005, PHIL161,Cynthia Humes ,Religious Studies department,5.0,5.0,"Hard class, but I loved this class, real interesting. Prof Humes really cares about her students, even cooked great Indian food for us!! Only probem is she doesn't teach that often, and only teaches the same class when she does."
27,0.0,0.26,0.74,0.9082,0.0016637120861560106,0.008787428960204124,0.989548921585083, PHIL161,Cynthia Humes ,Religious Studies department,4.0,5.0,"Really smart, very helpful. Loved the class!!!"
28,0.118,0.68,0.202,0.5709,0.13424310088157654,0.3257979154586792,0.5399589538574219, RLST161,Cynthia Humes ,Religious Studies department,3.0,5.0,"Teaches an interesting course. Very knowledgeable, yet somewhat condescending. Erratic instructions and expectations. At times very friendly and others moody and snippy. If course material was not interesting her rating would be in the dumps."
29,0.0,0.643,0.357,0.7281,0.028023095801472664,0.1896197646856308,0.7823570966720581, RELIGIOUS,Cynthia Humes ,Religious Studies department,4.5,1.0,"Most students really like her.  She acts like she's ""one of the gang""."
30,0.142,0.779,0.079,-0.6731,0.42818406224250793,0.42013728618621826,0.151678666472435, ECON50,Colin Wright ,Economics department,3.0,4.0,"If you fall behind it's almost impossible to catch up. He's a nice guy, but he's a bit difficult to understand during lectures. Expect to do a lot of work on your own out of the textbook to get the concepts down and use his lectures to supplement AFTER you've already looked at the lesson. Not a horrid grader, but the policy was unclear & stressful."
31,0.0,0.5,0.5,0.4588,0.004657399840652943,0.0893099382519722,0.9060326218605042, ECON101,Colin Wright ,Economics department,5.0,1.0,Wright is right  :)
32,0.075,0.773,0.153,0.4331,0.005554858595132828,0.06605403125286102,0.9283910989761353, ECON101,Colin Wright ,Economics department,2.5,3.0,"Wright has a ""cult following"" status among CMCers. They have good reason for this -  he is a hidden gem of CMC. Despite his reputation, he's a great talker. Even though his teaching style and tests might make the class difficult, Wright is helpful in office hours & is willing to give out good grades despite a hard, but hilarious, class."
33,0.04,0.73,0.231,0.9581,0.006126608233898878,0.0334157831966877,0.9604576230049133, ECON101,Colin Wright ,Economics department,5.0,4.0,"I heard people suggest me not to take his class but it turns out to be the BEST class I had in CMC. It's totally Ok if you don't understand stuff in class, just go to the office hour. He can't be more helpful and caring. He gives me wise life advices and makes me think deeper in econ. If you are really in to econ, take him!"
34,0.218,0.603,0.178,-0.381,0.22408364713191986,0.41272011399269104,0.3631962835788727, ECON101,Colin Wright ,Economics department,5.0,2.0,"Wright is a good bad even though he has a bad reputation. Class could be hard if you do not pay attention to his lectures. Despite that, overall it is a good class!"
35,0.108,0.803,0.089,-0.0679,0.0533762201666832,0.24268773198127747,0.7039360404014587, ECON101,Colin Wright ,Economics department,4.0,2.0,"Everyone gives Professor Wright a bad rap on campus. When I signed up for his course so many people warned me against it; however, I enjoyed his course. If you pay attention in class and take his notes, you have all the information that he will test you on. Plus, he is more than willing to help anyone out during office hours."
36,0.0,0.521,0.479,0.5686,0.0015971068060025573,0.01981269009411335,0.978590190410614, ECON101,Colin Wright ,Economics department,5.0,3.0,Niceset professor ever! Really helpful!
37,0.085,0.776,0.139,0.6412,0.04582009091973305,0.26308152079582214,0.6910984516143799, ECON101,Colin Wright ,Economics department,5.0,3.0,"Many says that he is hard and bad. I agree that he is not easy, but he is a really good professor. He knows what he is talking about. When you actually reflect on what he taught, you can apply many of them to real life. Not a lot of professors teach something flexible to use."
38,0.0,0.356,0.644,0.9132,0.0014101732522249222,0.009887808002531528,0.9887020587921143, ECON101,Colin Wright ,Economics department,3.5,3.0,"He is pretty good, very helpful! He is a very good person! "
39,0.251,0.749,0.0,-0.6892,0.9845677614212036,0.013136154040694237,0.002296077786013484, ECON101,Colin Wright ,Economics department,1.0,4.0,You should not take this class! This is the worst econ professor I have ever had!
40,0.052,0.76,0.188,0.8066,0.005144092254340649,0.046198900789022446,0.9486570358276367, ECON101,Colin Wright ,Economics department,3.0,3.0,"Despite what people say about him, Professor Wright is actually a pretty good professor.  If you pay attention during lectures and actually try and comprehend what he is saying, it's not that bad.  Yes he is more math-based than others, but he is very helpful during office hours."
41,0.052,0.617,0.331,0.9619,0.0031285900622606277,0.010552780702710152,0.9863185882568359, FHS10,Colin Wright ,Economics department,4.0,2.0,Absolutely amazing class. Love the discussions and Professor Wright has his unbiased views which make a lot of the discussions interesting. TAKE THIS CLASS.  He has been given a bad reputation in the Econ Dept. but this class is awesome and the course material is pretty interesting. TAKE IT!
42,0.09,0.687,0.223,0.8874,0.0030076238326728344,0.020132780075073242,0.9768596291542053, ECON101,Colin Wright ,Economics department,5.0,3.0,"He is great- doesn't assign too much work, but demands your full attention in class, which if you give him, will help a lot with tests. Plus his deviations and anecdotes during class are good times to catch up on the content and polish your notes. Very logical, no fluff, no spoon feeding, and a great professor!"
43,0.036,0.786,0.178,0.8124,0.052657537162303925,0.2589842677116394,0.6883581876754761, 101,Colin Wright ,Economics department,4.0,3.0,"Wright get's a really bad rep in the econ department. Personality wise, he is actually quite funny. The work load is quite easy, we only had two homeworks. All you have to do is study his modules, yes you have to know how to take the first derivative. But I found the use of math makes solving/understanding this class easier."
44,0.083,0.917,0.0,-0.6229,0.9735559821128845,0.023769527673721313,0.0026745290961116552, ECON50,Colin Wright ,Economics department,1.0,5.0,I thought Professor Wright's Econ 50 class was terrible for several reasons: 1) He is too math based. There were more equations than concepts. 2) Exams were hard to study for and questions were random 3) He taught the class assuming we had already taken Econ before in high school even though it's an intro course. DON'T TAKE WRIGHT!!
45,0.211,0.789,0.0,-0.3412,0.8810367584228516,0.11182402074337006,0.007139313966035843, ECON101,Colin Wright ,Economics department,2.5,4.0,if you're not good at mnath dont take this class
46,0.123,0.756,0.121,0.2263,0.007033667992800474,0.0640251487493515,0.9289411306381226, ECON101,Colin Wright ,Economics department,3.0,3.0,"Prof. Wright is a great professor and I learned a lot about micro from him. Being a Mudder, no one else in my class knew any real math so they thought it was hard, but the numerical approach to problems was realistic and easier for me to understand."
47,0.13,0.829,0.041,-0.6923,0.9752150774002075,0.021923424676060677,0.0028614425100386143, ECON101,Colin Wright ,Economics department,1.5,5.0,Worst professor I have ever had. All he did was talk about how we didn't know enough math. He doesn't use the textbook hardly at all and his tests come out of nowhere. Plus he's hostile at his office hours. I regret taking the class 100%. Take Bjerk instead...
48,0.153,0.731,0.116,-0.2724,0.04510306939482689,0.1786324381828308,0.776264488697052, ECON101,Colin Wright ,Economics department,4.5,2.0,"He seems really hard but once you get used to his style of teaching, you learn sooo much. At times he is unintentionally intimidating but hes a nice guy really. He really knows his stuff and teaches Econ in a way it makes us think unlike other Econ teachers who use no math and just expect you to puke out defntions on the test. Best forthe long run"
49,0.223,0.663,0.114,-0.7269,0.9303492903709412,0.06045692786574364,0.009193744510412216, ECON101,Colin Wright ,Economics department,1.0,5.0,"If you take this prof you are making a huge mistake. Makes easy problems hard and hard problems impossible thru his own incompetence as a teacher. You will be dumbfounded trying to teach yourself because most of the material he makes up and you have to make sense of his scribbled notes, and he makes zero sense in class. Save yourself."
50,0.193,0.65,0.157,-0.4712,0.5385481715202332,0.32313141226768494,0.1383204460144043, ECON50,Colin Wright ,Economics department,1.5,5.0,"Wright is not a good teacher!  I really like econ, but he is not good at teaching it.  There is no homework that you have to turn in, but the tests are very hard.  I liked the stories he told in class, and he's kinda funny, but I would've preferred if he taught better.  I took tons of notes, I thought i understood all of it, but the tests raped me"
51,0.05,0.765,0.186,0.6968,0.008990117348730564,0.0693119689822197,0.9216979146003723, ECON101,Colin Wright ,Economics department,4.0,4.0,"Wright's micro, though harder than other micro classes around, is more fun. There's no homework, so three tests decide your grade. Tests are repititive, so it's not tough to crack them. If you want to learn, then you should definitely take this class."
52,0.0,0.954,0.046,0.431,0.36670982837677,0.47195109724998474,0.16133907437324524, ECON101,Colin Wright ,Economics department,2.0,4.0,"Perhaps not as bad as many people here say. There are only 3 graded assignments the whole semester. If you are unlucky enough to get him, go to class and study. Some people say if you get Wright, try again next semester, and that might be right if you aren't an econ person. Otherwise, you'll have a workless semester and a mediocre grade."
53,0.0,0.796,0.204,0.9109,0.0177740640938282,0.1557043343782425,0.8265215754508972, ECON50,Colin Wright ,Economics department,2.5,4.0,"Uses math exclusively to teach concepts.  I didn't put a whole lot of work in to the class, but I really studied for the last test and did well.  If you're willing to do outside work to study and are good with math, you'll do fine and learn some.  Funny, but digresses into material of 101."
54,0.0,1.0,0.0,0.0,0.09242311865091324,0.3542146384716034,0.553362250328064, ECON50,Colin Wright ,Economics department,3.0,4.0,"Everyday: ""This is kind of Econ101 stuff that you all won't understand, but I'm going to say it anyway...""  and he was right...we didn't understand.  I learned a lot ONLY because I went out and learned it ON MY OWN..."
55,0.088,0.699,0.213,0.7569,0.43078428506851196,0.3779875636100769,0.19122816622257233, ECON101,Colin Wright ,Economics department,4.0,4.0,"very challenging, but dont take all of these reviews too seriously.  if you really want to learn about econ and take an interesting class, i strongly recommend it, if you are too lazy to study for 3 tests in one semester, then come on, you dont deserve to be at claremont"
56,0.429,0.571,0.0,-0.8591,0.9664872884750366,0.030230896547436714,0.003281909739598632, ECON101,Colin Wright ,Economics department,1.0,5.0,"Arrogant, Unclear and Pompus.  Makes material harder than it is, and is terrible at providing examples.  Avoid him."
57,0.0,0.669,0.331,0.7848,0.6234984397888184,0.30394887924194336,0.0725526288151741, MICROECONOMICS,Colin Wright ,Economics department,1.0,5.0,Without a doubt the worst prof at CMC back in 1996 and it sounds like he is still going strong...
58,0.079,0.634,0.287,0.7615,0.0680467039346695,0.2663925886154175,0.6655607223510742, ECON50,Colin Wright ,Economics department,1.5,5.0,"he was funny in class, but unclear and the test material came out of nowhere...he is also too focused on math.  nice guy though"
59,0.462,0.331,0.207,-0.4753,0.9163621068000793,0.07761521637439728,0.006022673100233078, 101,Colin Wright ,Economics department,1.0,5.0,Wright is Wrong! Avoid like the plague.
60,0.257,0.657,0.086,-0.8705,0.7588320374488831,0.19045725464820862,0.05071070417761803, ECON50,Colin Wright ,Economics department,1.0,5.0,"Avoid at ALL COSTS. If he is the only one teaching the class you want, wait until later to take it. His class will ruin your GPA and leave you clueless much of the time. He's a nice and funny guy, but he is a sucky and unfair teacher."
61,0.136,0.819,0.044,-0.5768,0.9310547709465027,0.06257450580596924,0.0063707767985761166, ECON50,Colin Wright ,Economics department,1.0,4.0,"What a ridiculous professor. He is very unclear and never does any problems in class to prepare students for the midterms. Also, doesn't curve tests when the highest grade is an 81 and says his normal grade for an Econ 50 class is a B-. Avoid if possible"
62,0.216,0.664,0.12,-0.4759,0.9305081367492676,0.05984927713871002,0.009642618708312511, ECON101,Colin Wright ,Economics department,2.5,3.0,"He's not clear enough and the lectures are somewhat disorganized. Having said that, he does bring up some neat problems in class and you'll learn how to graph dozens of lines in one graph. But he's pretty damn boring to listen to."
63,0.081,0.688,0.232,0.6557,0.9252855181694031,0.06657606363296509,0.00813840888440609, ECON101,Colin Wright ,Economics department,2.0,4.0,"Funny guy...I don't know about how nice he is, though.  Not very willing to help or explain, or teach for that matter. His class frustrated me more than any class at CMC so far."
64,0.524,0.476,0.0,-0.296,0.2814446687698364,0.6639315485954285,0.05462384223937988, ECON101,Colin Wright ,Economics department,2.0,5.0,Avoid if possible
65,0.041,0.658,0.301,0.8834,0.015727916732430458,0.10798456519842148,0.8762874603271484, ECON101,Colin Wright ,Economics department,4.0,3.0,"Funniest prof I've taken. Also a genuine nice guy under his econ exterior. Only decently prepares his lectures, tends to ramble, but makes them good through poignant anecdotes. Hard subject, easy grader."
66,0.293,0.555,0.152,-0.7438,0.11776238679885864,0.4306480884552002,0.45158952474594116, ECON101,Colin Wright ,Economics department,4.0,4.0,"Good prof but difficult subject no matter who you take it with... He can be slightly intimidating, but to do do well, you just need to work hard."
67,0.0,0.714,0.286,0.4215,0.12788762152194977,0.6358885169029236,0.23622383177280426, ECON101,Colin Wright ,Economics department,2.0,4.0,"Blub-blub-blub, students ten years ago cared about econ."
68,0.208,0.792,0.0,-0.3875,0.7157109975814819,0.25847601890563965,0.02581307478249073, ECON101,Colin Wright ,Economics department,2.0,4.0,Don't you care about econ anymore? blub blub blub...  -Colin Wright
69,0.0,0.505,0.495,0.2411,0.9520902037620544,0.042404722422361374,0.005505069624632597, 101,Colin Wright ,Economics department,1.0,5.0,"cannot teach, boring"
70,0.087,0.622,0.291,0.9253,0.004146481864154339,0.04283403605222702,0.9530194997787476, ARTH2000,Ann Meyer ,Literature department,4.5,4.0,"Prof. Meyer is intensely brilliant and provokes thoughtful discussion, making tricky concepts fun to think about. Her class is deeply challenging, combining serious readings with weekly writings and asking students to critically analyze complex texts and images. You will succeed if you strive, and she'll make you want to strive. I recommend!"
71,0.104,0.74,0.156,0.8299,0.024514084681868553,0.19876256585121155,0.776723325252533, DANTE1,Ann Meyer ,Literature department,5.0,5.0,"Prof Meyer is a very eccentric prof, no doubt about it. She is also very serious about lit, so if you take her class take it seriously. And if you like Dante, you must take her class. I personally was reluctant to take Dante, but she opens your eyes to his brilliance. One of the hardest and most stimulating lit classes I took at CMC."
72,0.073,0.9,0.027,-0.2302,0.6835765838623047,0.2805531322956085,0.035870280116796494, LIT10,Ann Meyer ,Literature department,1.5,4.0,"Before I took the class I thought that Meyer's ratings were tough. They are not. Professor Meyer does not care about her lit 10 classes and she does not prepare for them. She is not that hard, but she assigns grades quite randomly."
73,0.0,0.682,0.318,0.9794,0.0065185134299099445,0.032806266099214554,0.9606751799583435, DANTE112,Ann Meyer ,Literature department,2.5,4.0,"She's a little batty (replied to a request to meet outside office hours with ""Your second paper topic looks great.""), but you come to love her. She leads the most intellectual class discussions I've ever encountered, and she doesn't overload you with pointless work. She LOVES Dante, so if you have any interest in him, take her class!"
74,0.023,0.552,0.425,0.9895,0.0037651839666068554,0.03103230521082878,0.9652025103569031, LIT1,Ann Meyer ,Literature department,4.0,4.0,"She can be intimidating at times, but she's an excellent professor with a vibrant passion for literature.  She's very open to student ideas and encourages expression at every opportunity.  You must do all the reading and attend every class in order to succeed, but you'll find that you enjoy it and you will learn a great deal."
75,0.0,0.656,0.344,0.9804,0.00603092135861516,0.027896827086806297,0.9660722017288208, LITSECT,Ann Meyer ,Literature department,4.0,2.0,"I'm not a lit major but I've taken several lit courses bc of Meyer.  Despite what other negative comments there might be, give her a chance.  She doesn't demand much of you and she usually only assigns short essays.  She gets incredibly excited about the topics and (if you try some) you'll get excited too.  She's brilliant and awesome!"
76,0.031,0.826,0.143,0.7708,0.08382435142993927,0.23793941736221313,0.6782362461090088, DANTE,Ann Meyer ,Literature department,4.5,3.0,"I love my experience with Meyer. She does not hold your hand in class, spoon feeding you information like you're a baby bird but leads class discussions forcing us to think about the text in new ways. She requires her students to respect the educational experience in her class, which is too much for some."
77,0.0,0.448,0.552,0.5709,0.005579792894423008,0.12477017939090729,0.8696500658988953, LIT10,Ann Meyer ,Literature department,4.0,3.0,Very passionate and knowledgable.
78,0.153,0.718,0.129,-0.1263,0.43315139412879944,0.4495210647583008,0.11732751876115799, LIT20,Ann Meyer ,Literature department,2.0,3.0,"If you're interested in French feminist literature, this is the place for you.  Very harsh on guys."
79,0.073,0.812,0.114,0.2648,0.6619181632995605,0.29133719205856323,0.0467446967959404, LIT63,Ann Meyer ,Literature department,1.5,2.0,Seems to be very hit-or-miss. She loves butt-kissers. Do not question her statements (especially if you're right & can prove it) or she will hate you. Talk to her about the papers or she'll get grumpy. Tread lightly with her and you should be fine.
80,0.287,0.604,0.109,-0.6059,0.32055044174194336,0.6262161135673523,0.05323350429534912, LIT10,Ann Meyer ,Literature department,1.5,3.0,"steer clear, but if you can't, dont get on her bad side"
81,0.054,0.652,0.293,0.8977,0.0030380222015082836,0.03521426022052765,0.9617477059364319, LIT62,Ann Meyer ,Literature department,5.0,3.0,"I don't know about her bad side, but I found her to be really passionate about the subject which was refreshing.  She was nice and seemed to be willing to accept different interpretations."
82,0.149,0.729,0.122,0.0378,0.19420123100280762,0.5722948908805847,0.23350392282009125, LIT10,Ann Meyer ,Literature department,4.5,3.0,Don't get on her bad side but she's very clear as to what is and isn't acceptable.  If you participate in class then you are golden.
83,0.394,0.606,0.0,-0.8579,0.8226811289787292,0.15389247238636017,0.023426389321684837, LIT63,Ann Meyer ,Literature department,2.0,3.0,"DO NOT GET ON HER BAD SIDE.
 again: 
 DO NOT GET ON HER BAD SIDE."
84,0.091,0.683,0.226,0.7579,0.5392953157424927,0.39625149965286255,0.0644531175494194, LIT10,Ann Meyer ,Literature department,1.0,3.0,"She refused to teach, instead making us lead our own class discussions (but interrupting frequently, of course, to tell us we were wrong.)  Better hope you agree with her viewpoints.  Also, if you're a guy, try and stear clear - MANHATER"
85,0.091,0.741,0.168,0.4003,0.09782562404870987,0.26018649339675903,0.6419879198074341, LIT10,Ann Meyer ,Literature department,3.5,2.0,"My mom liked her.  I guess that's the only nice thing I have to say, about her.  She almost hit me with her car!  And I was a pedestrian... live in fear, people"
86,0.688,0.312,0.0,-0.296,0.21843434870243073,0.7072479128837585,0.07431772351264954, LIT57,Ann Meyer ,Literature department,2.0,2.0,No Comments
87,0.688,0.312,0.0,-0.296,0.21843434870243073,0.7072479128837585,0.07431772351264954, LIT10,Ann Meyer ,Literature department,1.5,3.0,No Comments
88,0.208,0.792,0.0,-0.3415,0.8811407685279846,0.11142084002494812,0.007438443601131439, LIT10,Ann Meyer ,Literature department,2.5,4.0,Whoa.  Very serious and doesnt take well to those who dont do as she wants
89,0.219,0.755,0.026,-0.9233,0.9639397859573364,0.032109469175338745,0.0039507863111793995, FHS010,Jay Martin ,Government department,1.0,4.0,Would not recommend taking him for fhs or even govt. A lot of people said hes easy but hes not. Hes become a very hard grader. What was most annoying was that we never got any guidelines on papers. He told us to write about anything and gave no structure. Also he has a very weird grading system in which he uses points. very boring class.
90,0.018,0.725,0.258,0.9481,0.00260674930177629,0.01999874971807003,0.9773945808410645, FHS010,Jay Martin ,Government department,5.0,1.0,"Get ready to write a one-page essay every week exploring one of the various different humanities subjects you will be exposed to in this class. Jay Martin is a really sweet and kind professor, and he has some cool perspectives and really bad-ass life experiences to share. Fun guy to get to know! (Also, take him if you want an easy-A FHS class.)"
91,0.076,0.646,0.278,0.656,0.35169005393981934,0.32480674982070923,0.3235032558441162, GOV20,Jay Martin ,Government department,3.0,4.0,Boring lectures WHO SAID THIS CLASS WAS EASY? lots of readings. daily quizzes.   but he's a nice person
92,0.087,0.714,0.199,0.5574,0.013982860371470451,0.22535714507102966,0.76065993309021, GOV20,Jay Martin ,Government department,4.5,3.0,"Pretty manageable intro gov class, lots of reading and daily quizzes, but no big tests or long essays, only 1 page papers. Participate and show you care"
93,0.03,0.736,0.234,0.8764,0.010217392817139626,0.05838286131620407,0.9313997626304626, GOV20,Jay Martin ,Government department,4.0,3.0,"Very nice man. Writes amazing recommendations, so get to know him. Intro level gov class- His lectures could be boring at times, but hes clearly interested in the subject matter.  Participate for the debates and do the readings for the daily quizzes. An A is not impossible."
94,0.037,0.662,0.301,0.969,0.213217630982399,0.29472988843917847,0.4920524060726166, GOV020,Jay Martin ,Government department,4.0,3.0,"Awesome guy.  Old, tenured, but still clearly has a passion for education and learning.  Not in that he loves helping students but that he loves talking about his subject matter.  Lectures are boring and just a review of the reading, but he drops in nuggets about his life (was a spy).  CLASS IS GRADED ON A CURVE so 30% get As, 50% Bs, 20% Cs."
95,0.0,0.682,0.318,0.9363,0.0021722917445003986,0.020479518920183182,0.9773482084274292, GOV20,Jay Martin ,Government department,3.0,3.0,Really nice and interesting person. I recommend you go to lunch with him when he offers. There's a good amount of reading in the beginning but it gets easier. Had daily quizzes and then daily debates. We read a lot of supreme court cases.
96,0.056,0.705,0.239,0.9175,0.029687998816370964,0.10326816886663437,0.8670439124107361, FHS,Jay Martin ,Government department,3.5,1.0,"Professor Martin is a very sweet man who knows a lot about different subjects, but he tends to ramble on during class discussions. Gives multiple one page papers plus a final paper of 12+ pages. Subject material (ballet and opera) is great. Easy class overall, but not very invigorating or interesting during class lectures."
97,0.0,0.761,0.239,0.9217,0.0020434611942619085,0.02348555624485016,0.9744710326194763, FHS010,Jay Martin ,Government department,5.0,2.0,"FHS:Opera/Ballet.Signed up for it simply for the sake of trying something new.Now,I love the genres.I attribute my new-found appreciation and growth simply with respect to  lit. to Dr. Martin.1 1-page essay/wk.20pg final paper.no midterms.He practices psych, is a gov. prof,knows 7 languages,and was a Buddhist Monk.kind man;relaxed class;good books"
